id,base_id,attribute,winner,prob_current
08f12db0d9c6137103d4a617c7e2dcff,yelp_HoC3IZsfhI94POPiU8SISw,emails,current,1.0
08f12db0d9c6137103d4a617c7e2dcff,yelp_HoC3IZsfhI94POPiU8SISw,socials,current,1.0
08f44abb7594926303625ed86db05aad,yelp_Eg9Y0P-sLcx1gjWmulIvjQ,names,current,0.988286480134767
08f44abb7594926303625ed86db05aad,yelp_Eg9Y0P-sLcx1gjWmulIvjQ,categories,current,1.0
08f44abb7594926303625ed86db05aad,yelp_Eg9Y0P-sLcx1gjWmulIvjQ,websites,base,1.0175468560191803e-05
08f44abb7594926303625ed86db05aad,yelp_Eg9Y0P-sLcx1gjWmulIvjQ,phones,base,0.058944610961514377
08f44abb7594926303625ed86db05aad,yelp_Eg9Y0P-sLcx1gjWmulIvjQ,addresses,base,0.0025206478138326957
08f44abb7594926303625ed86db05aad,yelp_Eg9Y0P-sLcx1gjWmulIvjQ,emails,current,1.0
08f44abb7594926303625ed86db05aad,yelp_Eg9Y0P-sLcx1gjWmulIvjQ,socials,current,1.0
1407374885690852,yelp_N9vXd06fga-x6QkhJbWHRw,names,current,0.9995719811844456
1407374885690852,yelp_N9vXd06fga-x6QkhJbWHRw,categories,current,0.9938314544266892
1407374885690852,yelp_N9vXd06fga-x6QkhJbWHRw,websites,base,2.393720205873251e-05
1407374885690852,yelp_N9vXd06fga-x6QkhJbWHRw,phones,base,4.7725485475415315e-05
1407374885690852,yelp_N9vXd06fga-x6QkhJbWHRw,addresses,current,0.9965934140962882
1407374885690852,yelp_N9vXd06fga-x6QkhJbWHRw,emails,current,1.0
1407374885690852,yelp_N9vXd06fga-x6QkhJbWHRw,socials,base,0.043333333333333335
08f446ca8ebab52803cf5796bbf96a11,yelp_PFq9lFzesNinx5DJPRcIkg,names,base,0.05351046993796462
08f446ca8ebab52803cf5796bbf96a11,yelp_PFq9lFzesNinx5DJPRcIkg,categories,base,0.08735632203317564
08f446ca8ebab52803cf5796bbf96a11,yelp_PFq9lFzesNinx5DJPRcIkg,websites,base,1.5038051969895605e-05
08f446ca8ebab52803cf5796bbf96a11,yelp_PFq9lFzesNinx5DJPRcIkg,phones,current,0.9930378452792635
08f446ca8ebab52803cf5796bbf96a11,yelp_PFq9lFzesNinx5DJPRcIkg,addresses,base,0.0023240487779048256
08f446ca8ebab52803cf5796bbf96a11,yelp_PFq9lFzesNinx5DJPRcIkg,emails,current,1.0
08f446ca8ebab52803cf5796bbf96a11,yelp_PFq9lFzesNinx5DJPRcIkg,socials,current,1.0
08f2e610552c258d030ff9e70f06fa32,yelp_MtnXL2-l78CjuvrscO22KA,names,base,0.0
08f2e610552c258d030ff9e70f06fa32,yelp_MtnXL2-l78CjuvrscO22KA,categories,current,1.0
08f2e610552c258d030ff9e70f06fa32,yelp_MtnXL2-l78CjuvrscO22KA,websites,base,0.00011761880159610882
08f2e610552c258d030ff9e70f06fa32,yelp_MtnXL2-l78CjuvrscO22KA,phones,base,5.720532137769275e-05
08f2e610552c258d030ff9e70f06fa32,yelp_MtnXL2-l78CjuvrscO22KA,addresses,base,0.0037185077039574924
08f2e610552c258d030ff9e70f06fa32,yelp_MtnXL2-l78CjuvrscO22KA,emails,current,1.0
08f2e610552c258d030ff9e70f06fa32,yelp_MtnXL2-l78CjuvrscO22KA,socials,base,0.046690388900869816
08f28362f5959d9e03ae4e554ed7ead2,yelp_d6pIcvxTSH2_MJwzAjHEPg,names,current,0.998755886932413
08f28362f5959d9e03ae4e554ed7ead2,yelp_d6pIcvxTSH2_MJwzAjHEPg,categories,current,0.9019238894098481
08f28362f5959d9e03ae4e554ed7ead2,yelp_d6pIcvxTSH2_MJwzAjHEPg,websites,base,0.00021464098244905472
08f28362f5959d9e03ae4e554ed7ead2,yelp_d6pIcvxTSH2_MJwzAjHEPg,phones,current,0.9740137794019099
08f28362f5959d9e03ae4e554ed7ead2,yelp_d6pIcvxTSH2_MJwzAjHEPg,addresses,base,0.004308535325319134
08f28362f5959d9e03ae4e554ed7ead2,yelp_d6pIcvxTSH2_MJwzAjHEPg,emails,current,1.0
08f28362f5959d9e03ae4e554ed7ead2,yelp_d6pIcvxTSH2_MJwzAjHEPg,socials,current,1.0
1407374886265533,yelp_Pa1k4iQfglrG6sTcDSKSQw,names,current,0.9848265282844096
1407374886265533,yelp_Pa1k4iQfglrG6sTcDSKSQw,categories,base,0.08215382453255352
1407374886265533,yelp_Pa1k4iQfglrG6sTcDSKSQw,websites,base,7.277636177605018e-05
1407374886265533,yelp_Pa1k4iQfglrG6sTcDSKSQw,phones,base,2.1168267108866565e-05
1407374886265533,yelp_Pa1k4iQfglrG6sTcDSKSQw,addresses,current,0.9930776003493375
1407374886265533,yelp_Pa1k4iQfglrG6sTcDSKSQw,emails,current,1.0
1407374886265533,yelp_Pa1k4iQfglrG6sTcDSKSQw,socials,base,0.043333333333333335
08f2621b7052304a03ba951dc99f9387,yelp_mklHKfetuy9GBlvdZVJWeA,names,current,0.998749170596326
08f2621b7052304a03ba951dc99f9387,yelp_mklHKfetuy9GBlvdZVJWeA,categories,current,0.9999106144025971
08f2621b7052304a03ba951dc99f9387,yelp_mklHKfetuy9GBlvdZVJWeA,websites,base,2.5716899472172372e-05
08f2621b7052304a03ba951dc99f9387,yelp_mklHKfetuy9GBlvdZVJWeA,phones,current,0.9740137794019099
08f2621b7052304a03ba951dc99f9387,yelp_mklHKfetuy9GBlvdZVJWeA,addresses,current,0.9683237915892339
08f2621b7052304a03ba951dc99f9387,yelp_mklHKfetuy9GBlvdZVJWeA,emails,current,1.0
08f2621b7052304a03ba951dc99f9387,yelp_mklHKfetuy9GBlvdZVJWeA,socials,current,1.0
08f60a25956e9c3203411ea2c362c408,yelp_PhDhJo35b-0dRTCZ4n3Vfg,names,base,0.0
08f60a25956e9c3203411ea2c362c408,yelp_PhDhJo35b-0dRTCZ4n3Vfg,categories,base,0.00026092380501928857
08f60a25956e9c3203411ea2c362c408,yelp_PhDhJo35b-0dRTCZ4n3Vfg,websites,base,5.372387749957852e-05
08f60a25956e9c3203411ea2c362c408,yelp_PhDhJo35b-0dRTCZ4n3Vfg,phones,base,2.112279068700832e-05
08f60a25956e9c3203411ea2c362c408,yelp_PhDhJo35b-0dRTCZ4n3Vfg,addresses,base,0.005540322480545449
08f60a25956e9c3203411ea2c362c408,yelp_PhDhJo35b-0dRTCZ4n3Vfg,emails,current,1.0
08f60a25956e9c3203411ea2c362c408,yelp_PhDhJo35b-0dRTCZ4n3Vfg,socials,base,0.046690388900869816
08f2664d85c81c63034a4d773dfc3f7a,yelp_M0--jfoip9kS4UAEGo4JqQ,names,base,0.0
08f2664d85c81c63034a4d773dfc3f7a,yelp_M0--jfoip9kS4UAEGo4JqQ,categories,current,0.9944770167510406
08f2664d85c81c63034a4d773dfc3f7a,yelp_M0--jfoip9kS4UAEGo4JqQ,websites,base,2.4063590899459086e-05
08f2664d85c81c63034a4d773dfc3f7a,yelp_M0--jfoip9kS4UAEGo4JqQ,phones,base,8.006159677694216e-05
08f2664d85c81c63034a4d773dfc3f7a,yelp_M0--jfoip9kS4UAEGo4JqQ,addresses,current,0.986954457937905
08f2664d85c81c63034a4d773dfc3f7a,yelp_M0--jfoip9kS4UAEGo4JqQ,emails,current,1.0
08f2664d85c81c63034a4d773dfc3f7a,yelp_M0--jfoip9kS4UAEGo4JqQ,socials,base,0.046690388900869816
08f26c86dbb757a203af584aa088e51f,yelp_jod79icy6z8PteD7fso_mQ,names,base,0.06290738436818728
08f26c86dbb757a203af584aa088e51f,yelp_jod79icy6z8PteD7fso_mQ,categories,current,0.9839001551901394
08f26c86dbb757a203af584aa088e51f,yelp_jod79icy6z8PteD7fso_mQ,websites,base,4.732848083222052e-06
08f26c86dbb757a203af584aa088e51f,yelp_jod79icy6z8PteD7fso_mQ,phones,current,0.9725127052557454
08f26c86dbb757a203af584aa088e51f,yelp_jod79icy6z8PteD7fso_mQ,addresses,base,0.0046837301628108435
08f26c86dbb757a203af584aa088e51f,yelp_jod79icy6z8PteD7fso_mQ,emails,current,1.0
08f26c86dbb757a203af584aa088e51f,yelp_jod79icy6z8PteD7fso_mQ,socials,current,1.0
1688849863724869,yelp_mmPu3WZ40qSL6iQ0L5rfJg,names,base,0.004286336853421316
