id,base_id,addresses,base_addresses
08f392d880d830180310e07d614710a5,281474980819958,"[{""freeform"":""Barrio Lamiña, 34"",""locality"":""Ruente"",""postcode"":""39510"",""country"":""ES""}]","[{""freeform"":""Carretera de Barcenillas a, Barrio Lamiña"",""locality"":""Lamiña"",""region"":""Cantabria"",""country"":""ES"",""postcode"":""39513""}]"
08f2a8ba61b4bd9a037c89dcd6617950,1407374885136262,"[{""freeform"":""3400 Westgate Dr"",""locality"":""Durham"",""postcode"":""27707-2535"",""region"":""NC"",""country"":""US""}]","[{""freeform"":""3400 Westgate Dr Ste 8"",""locality"":""Durham"",""region"":""NC"",""country"":""US"",""postcode"":""27707""}]"
2251799821220766,562949955210846,"[{""freeform"":""1140 N Germantown Pkwy Ste 112"",""locality"":""Cordova"",""region"":""TN"",""country"":""US"",""postcode"":""38016""}]","[{""freeform"":""1140 N Germantown Pkwy Ste 108"",""locality"":""Cordova"",""region"":""TN"",""country"":""US"",""postcode"":""38016""}]"
08f44c174c09444103c4be2cf2199428,281474978255681,"[{""freeform"":""1404 Lawrenceville Suwanee Rd"",""locality"":""Lawrenceville"",""postcode"":""30043-4343"",""region"":""GA"",""country"":""US""}]","[{""freeform"":""1404 Lawrenceville Suwanee Rd Ste 104"",""locality"":""Lawrenceville"",""region"":""GA"",""country"":""US"",""postcode"":""30043""}]"
08f26962083a02f40376a90056fc0453,844424932249294,"[{""freeform"":""825 E 1180 S"",""locality"":""American Fork"",""postcode"":""84003-3918"",""region"":""UT"",""country"":""US""}]","[{""freeform"":""825 E 1180 S Ste 300"",""locality"":""American Fork"",""region"":""UT"",""country"":""US"",""postcode"":""84003""}]"
08f195988b898d64034008cac3a910aa,1125899908643907,"[{""freeform"":""37-39 Southgate Street"",""locality"":""Winchester"",""postcode"":""SO23 9EH"",""region"":""Hampshire"",""country"":""GB""}]","[{""freeform"":""Southgate Chambers, 37/39 Southgate Street"",""locality"":""Winchester"",""region"":"""",""country"":""GB"",""postcode"":""SO23 9EH""}]"
08fbe8d81286d794032c375b025f9b00,1407374886834264,"[{""freeform"":""Hyperdome Mall/hyperdome Plus, 3812 Pacific Hwy"",""locality"":""Brisbane"",""postcode"":""4128"",""region"":""QLD"",""country"":""AU""}]","[{""freeform"":""Shop 53 Bryants Road"",""locality"":""Loganholme"",""region"":""Queensland"",""country"":""AU"",""postcode"":""4129""}]"
08f2a9560235585103d35ec2f4513b74,844424934140957,"[{""freeform"":""4200 International Gtwy"",""locality"":""Columbus"",""postcode"":""43219-1747"",""region"":""OH"",""country"":""US""}]","[{""freeform"":""4200 INTERNATIONAL GATEWAY"",""locality"":""COLUMBUS"",""region"":""OH"",""country"":""US"",""postcode"":""43219""}]"
08f28f012d60e6ad03f99abbc4c48bf1,562949955048970,"[{""freeform"":""19321 SW Martinazzi Ave"",""locality"":""Tualatin"",""postcode"":""97062-6354"",""region"":""OR"",""country"":""US""}]","[{""freeform"":""19321 SW Martinazzi Ave (Martinazzi Sq, Uare - Tualatin)"",""locality"":""Tualatin"",""region"":""OR"",""country"":""US"",""postcode"":""97062""}]"
08f28308106929aa0322048f73b8a6a1,1407374891541208,"[{""freeform"":""2844 Summit St Ste 107"",""locality"":""Oakland"",""postcode"":""94609"",""region"":""CA"",""country"":""US""}]","[{""freeform"":""2844 Summit St"",""locality"":""Oakland"",""region"":""CA"",""country"":""US"",""postcode"":""94609""}]"
08f283474cd5d0060371a4d2dc07ced8,562949953674175,"[{""freeform"":""325 Sharon Park Dr"",""locality"":""Menlo Park"",""postcode"":""94025-6804"",""region"":""CA"",""country"":""US""}]","[{""freeform"":""325 Sharon Park Dr Ste 635"",""locality"":""Menlo Park"",""region"":""CA"",""country"":""US"",""postcode"":""94025""}]"
08f1faad040705a503524f8b3f8ed78a,08f1faad04070d85036379ad2c9a82d3,"[{""freeform"":""St.-German-Str. 8"",""locality"":""Speyer"",""postcode"":""67346"",""region"":""Rheinland-Pfalz"",""country"":""DE""}]","[{""freeform"":""Sankt-German-Straße 8"",""locality"":""Speyer"",""postcode"":""67346"",""country"":""DE""}]"
08f195c16b7ada18034035220a9bdd25,844424933195832,"[{""freeform"":""21 Lichfield Street"",""locality"":""Tamworth"",""postcode"":""B79 7"",""region"":""ENG"",""country"":""GB""}]","[{""freeform"":""Manor House, Lichfield Street"",""locality"":""Tamworth"",""region"":"""",""country"":""GB"",""postcode"":""B79 7QF""}]"
08f44d84a989b2e803c03a9c9954a385,562949960132575,"[{""freeform"":""9813 South Blvd"",""locality"":""Charlotte"",""postcode"":""28273-5200"",""region"":""NC"",""country"":""US""}]","[{""freeform"":""9813 South Blvd Ste 105"",""locality"":""Charlotte"",""region"":""NC"",""country"":""US"",""postcode"":""28273""}]"
1125899910311695,844424932268258,"[{""freeform"":""183-213 Branch Ave"",""locality"":""Red Bank"",""region"":""NJ"",""country"":""US"",""postcode"":""07701""}]","[{""freeform"":""183 Branch Ave # 213"",""locality"":""Red Bank"",""region"":""NJ"",""country"":""US"",""postcode"":""07701""}]"
08f26c866888838503899ce333500e26,562949965628578,"[{""freeform"":""10440 N Central Expy"",""locality"":""Dallas"",""postcode"":""75231-2204"",""region"":""TX"",""country"":""US""}]","[{""freeform"":""10440 N Central Expy Ste 950"",""locality"":""Dallas"",""region"":""TX"",""country"":""US"",""postcode"":""75231""}]"
08f194e6e9552d2b03d67ae015440155,281474978847584,"[{""freeform"":""100 Bluewater Pkwy"",""postcode"":""DA9 9ST"",""country"":""GB""}]","[{""freeform"":""Bluewater, Bluewater Parkway"",""locality"":""Greenhithe"",""region"":"""",""country"":""GB"",""postcode"":""DA9 9ST""}]"
08f44a90ed8301b103f0e4bd500a5e5f,1125899909296364,"[{""freeform"":""611 N Wymore Rd"",""locality"":""Winter Park"",""postcode"":""32789-2856"",""region"":""FL"",""country"":""US""}]","[{""freeform"":""611 N Wymore Rd Ste 221"",""locality"":""Winter Park"",""region"":""FL"",""country"":""US"",""postcode"":""32789""}]"
08f29b6d5e2f3a6303041bd53474b787,1688849866242313,"[{""freeform"":""7700 W Arrowhead Towne Center, Ste 1260"",""locality"":""Glendale"",""postcode"":""85308"",""region"":""AZ"",""country"":""US""}]","[{""freeform"":""7700 W Arrowhead Towne Ctr., Ste 1150"",""locality"":""Glendale"",""region"":""AZ"",""country"":""US"",""postcode"":""85308""}]"
08f1f0204831024203a8625d51944196,1688849865469947,"[{""freeform"":""An d. Crivitzer Ch 1"",""postcode"":""19065"",""country"":""DE""}]","[{""freeform"":""An Der Crivitzer Chaussee 1"",""locality"":""Pinnow"",""region"":""Mecklenburg-Vorpommern"",""country"":""DE"",""postcode"":""19065""}]"
08f29a0a91596743032bcef34ac03dde,2251799819894973,"[{""freeform"":""5664 Etiwanda Ave"",""locality"":""Mira Loma"",""postcode"":""91752-2279"",""region"":""CA"",""country"":""US""}]","[{""freeform"":""5664 Etiwanda Ave Ste A"",""locality"":""Mira Loma"",""region"":""CA"",""country"":""US"",""postcode"":""91752""}]"
08f2a10b6342896d0393508969ccb385,1125899907822219,"[{""freeform"":""Patchogue-Medford Library, 54 E Main St"",""locality"":""Patchogue"",""postcode"":""11772-3102"",""region"":""NY"",""country"":""US""}]","[{""freeform"":""215 E Main St"",""locality"":""Patchogue"",""region"":""NY"",""country"":""US"",""postcode"":""11772""}]"
1125899912773417,1407374890340402,"[{""freeform"":""5152 69th St., Ste 100"",""locality"":""Lubbock"",""region"":""TX"",""country"":""US"",""postcode"":""79424""}]","[{""freeform"":""5152 69th St Ste 100"",""locality"":""Lubbock"",""region"":""TX"",""country"":""US"",""postcode"":""79424""}]"
1688849865754343,1970324841290809,"[{""freeform"":""25 Amblecote Rd"",""locality"":""Brierley Hill"",""region"":""England"",""country"":""GB"",""postcode"":""DY5 2YJ""}]","[{""freeform"":""Amblecote Road"",""locality"":""Birmingham"",""region"":"""",""country"":""GB"",""postcode"":""DY5 2YJ""}]"
08f2aac8459ac21e03705a1502527e2d,1407374886382684,"[{""freeform"":""550 E Lancaster Ave"",""locality"":""Radnor Twp"",""postcode"":""19087-5044"",""region"":""PA"",""country"":""US""}]","[{""freeform"":""550 E Lancaster Ave, Suite/Bldg A2"",""locality"":""Radnor"",""region"":""PA"",""country"":""US"",""postcode"":""19087""}]"
08f26ed52353494a035ccc4d9817a84c,1407374885189107,"[{""freeform"":""100 Commercial Dr"",""locality"":""Pineville"",""postcode"":""64856-7015"",""region"":""MO"",""country"":""US""}]","[{""freeform"":""100 Commercial Ln"",""locality"":""Pineville"",""region"":""MO"",""country"":""US"",""postcode"":""64856""}]"
