id,base_id,websites,base_websites
08fbcd0030da5323031bcafa8c2fa0dc,844424934845986,"[""http://bit.ly/NelspruitMazda""]","[""https://nelspruitmazda.co.za/""]"
1407374885933937,844424932146366,"[""https://stores.redwingshoes.com/roswell-ga""]","[""http://stores.redwing.com/roswell-ga""]"
08f3956260b9e14003feca2bf0764d0c,1407374887472291,"[""https://centro.norauto.es/alacant/finestrat/c-rei-jaume-i-n-9""]","[""http://centro.norauto.es/centre/alicante-finestrat-benidorm/358""]"
08f2aa879200ab960398d7c665470cf4,562949954974969,"[""https://www.choicehotels.com/virginia/alexandria/comfort-inn-hotels/va116""]","[""""]"
08f3950d1d5a6bae03a09c30bbb17406,1407374890671707,"[""https://www.bp.com/es_es/spain/home.html""]","[""https://www.bp.com/es_es/spain/home/productos-y-servicios/para-su-vehiculo/estaciones-de-servicio-bp.html""]"
08f48d621e8c9db103fd54168e9fe11c,1125899912129300,"[""http://www.pettigrew.us/""]","[""""]"
08f2ab2c4b89449a03e88d9391424fd1,562949961699505,"[""http://www.certaopportune.ca/""]","[""https://certaopportune.com/""]"
1970324842101934,1970324842430502,"[""https://locations.dtlr.com/va/richmond/southside-plaza.html""]","[""""]"
08f26ea82388e7990365b4a4be4226e2,1407374886399280,"[""""]","[""https://healthcare.ascension.org/find-care/provider/1356415574/jill-johnson""]"
08f2a1054d2dd7b003431719d93037ed,1125899907096133,"[""https://www.rei.com/stores/paramus?y_source=1_MTQ1MzQxNC01NTktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D""]","[""http://www.rei.com/stores/paramus.html?utm_source=bing&utm_medium=local&utm_campaign=localmaps&utm_content=140""]"
1125899908867665,1407374890445554,"[""https://www.garageclothing.com/ca/stores""]","[""https://www.garageclothing.com/ca""]"
08f2a8c10a6a681003edc1e418ee0a32,562949965568735,"[""http://www.charlottesville.gov/vote""]","[""https://www.charlottesville.gov/Directory.aspx?DID=69""]"
08f1f1a9ab72151e0395f93e968c61b9,1407374889539614,"[""http://www.aral.de/""]","[""https://tankstelle.aral.de/tankstelle/28743000""]"
1407374886630445,562949956278891,"[""http://www.wallawallamortgage.com/""]","[""""]"
08f44e06aa0b5a4a03caf2e60bd69a4a,1125899911371512,"[""https://www.terminix.com/exterminators/ga/bainbridge-2615/""]","[""http://www.terminix.com/""]"
1125899912260220,562949959086888,"[""https://locations.commercebank.com/mo/st-charles/atm-1020-s-5th-st.html""]","[""""]"
1407374885598016,562949964604094,"[""https://mistercarwash.com/""]","[""https://mistercarwash.com/store/w-river/?utm_source=bing&utm_medium=yext""]"
08f1e33450db537303a4d343dac8ccdc,844424934132353,"[""http://www.kurhotel-badzell.at/cella-cafe""]","[""http://www.kurhotel-badzell.at/index.php/cella-cafe""]"
1125899911221207,1970324838744829,"[""https://www.grovecitysfins.com/""]","[""http://grovecitysf.com/""]"
08f2664c9939219403dbde16d5780a75,844424930437611,"[""https://map.bp.com/en-US/US/gas-station/berwyn/bp/92621240367496040200100000000000""]","[""http://mybpstation.com/""]"
281474977374045,844424931551851,"[""http://www.interstatebatteries.com/DealerLocator/AbcDealerDetails.aspx?dealerId=121&storeId=9059&name=Merrimack""]","[""https://www.interstatebatteries.com/locations/all-battery-center-merrimack-nh?utm_source=referral&utm_campaign=llm""]"
08f2a101ab4a4d6603318d4b9c6dea88,1970324839219910,"[""http://www.carlosrestaurant.net/""]","[""""]"
08f1e9a009660cb00355eadd4822414d,2251799821009277,"[""http://www.poltronesofa.it/""]","[""https://www.poltronesofa.com/it-IT""]"
2251799821514759,844424932099356,"[""https://www.gianteagle.com/pharmacy""]","[""https://www.gianteagle.com/stores/pa/finleyville/finleyville-giant-eagle/667""]"
08f28d1aacab0c5503f03bc3cacd7057,281474977479849,"[""http://www.fanfavourites.ca/""]","[""""]"
08f44aeb866480e903682149449f77ac,1407374891210304,"[""http://www.kendrascott.com/""]","[""https://www.kendrascott.com/stores/fl/palm-beach-gardens/265066""]"
08f26e51040a94ee0300548c32b817b1,562949962901747,"[""https://www.cvs.com/store-locator/cvs-pharmacy-address/3901+Sw+21st+Street-Topeka-KS-66604/storeid=10244?WT.mc_id=LS_FACEBOOK_RX_10244""]","[""http://locations.cvsrx.com/ks/topeka/-topeka-ks-10244.html""]"
